TABLE_NAME,DOSSIERNUMMER,AANVRAGER,REGELINGNAAM,BELEIDSTERREIN,ORGANISATIEONDERDEEL,PROJECT_NAAM,TYPE_PERIODICITEIT,BEDRAG_AANGEVRAAGD,BEDRAG_VERLEEND,BEDRAG_VASTGESTELD,SUBSIDIEJAAR,DATUM_OVERZICHT
SB_MI_SUBSIDIEREGISTER,SBA-000012,BIZ Museum Quarter,Subsidie promotie winkelgebieden in Zuid,Economie,stadsdeel Zuid,promotie winkelgebieden Museumkwartier,Eenmalig,10000.00,8620.50,8620.50,2015,2016-09-28 01:00:17.567
SB_MI_SUBSIDIEREGISTER,SBA-000013,Ondernemersvereniging Albert Cuyp,Subsidie promotie winkelgebieden in Zuid,Economie,stadsdeel Zuid,Promotieactiviteiten,Eenmalig,4700.00,.00,NULL,2015,2016-09-28 01:00:17.567
SB_MI_SUBSIDIEREGISTER,SBA-000014,Ondernemersvereniging van Ambachtelijke Bedrijven in de Pijp (OABP),Subsidie promotie winkelgebieden in Zuid,Economie,stadsdeel Zuid,Promotie ambachtelijke bedrijven in de Pijp,Eenmalig,2000.00,1725.50,NULL,2015,2016-09-28 01:00:17.567
SB_MI_SUBSIDIEREGISTER,SBA-000015,Winkeliersvereniging Buitenveldertselaan,Subsidie promotie winkelgebieden in Zuid,Economie,stadsdeel Zuid,Promotie winkleplein Rooswijck,Eenmalig,4295.00,.00,NULL,2015,2016-09-28 01:00:17.567
SB_MI_SUBSIDIEREGISTER,SBA-000016,BIZ-vereniging Hoofddorppleinbuurt,Subsidie promotie winkelgebieden in Zuid,Economie,stadsdeel Zuid,Hoofddorppleinbuurtfestijn,Eenmalig,3300.00,2843.75,NULL,2015,2016-09-28 01:00:17.567
SB_MI_SUBSIDIEREGISTER,SBA-000017,Ondernemersvereniging 1ste van der Helststraat,Subsidie promotie winkelgebieden in Zuid,Economie,stadsdeel Zuid,Feestverlichting Eerste van der Helststraat,Eenmalig,5000.00,4310.25,NULL,2015,2016-09-28 01:00:17.567
SB_MI_SUBSIDIEREGISTER,SBA-000018,Ondernemersvereniging Winkelgebied Rijnstraat,Subsidie promotie winkelgebieden in Zuid,Economie,stadsdeel Zuid,Kerstverlichting,Eenmalig,5000.00,.00,NULL,2015,2016-09-28 01:00:17.567
SB_MI_SUBSIDIEREGISTER,SBA-000019,(Particulier),Subsidieregeling Bewonersinitiatieven,Welzijn en Zorg,stadsdeel Zuid,Jazzclub New Orleans,Eenmalig,4000.00,4000.00,NULL,2016,2016-09-28 01:00:17.567
SB_MI_SUBSIDIEREGISTER,SBA-000022,Stichting Muziekkapellen,Subsidie Vrijwilligersinitiatieven in Zuid,Welzijn en Zorg,stadsdeel Zuid,Optreden blaaskapel in Vondelpark,Eenmalig,1000.00,1000.00,NULL,2015,2016-09-28 01:00:17.567
SB_MI_SUBSIDIEREGISTER,SBA-000023,BIZ Vereniging Van Woustraat,Subsidie promotie winkelgebieden in Zuid,Economie,stadsdeel Zuid,Impuls groen van Woustraat,Eenmalig,5000.00,.00,NULL,2015,2016-09-28 01:00:17.567
SB_MI_SUBSIDIEREGISTER,SBA-000025,(Particulier),Meedoen Noord,Participatie,stadsdeel Noord,Creatief op papier,Eenmalig,160.00,160.00,NULL,2015,2016-09-28 01:00:17.567
SB_MI_SUBSIDIEREGISTER,SBA-000026,Centrale dorpenraad Landelijk Noord,Eenmalige Initiatieven SD Noord,Algemeen,stadsdeel Noord,CDR Drieweg Concert Ransdorp 2015,Eenmalig,1365.00,.00,NULL,2015,2016-09-28 01:00:17.567
SB_MI_SUBSIDIEREGISTER,SBA-000029,So What,Eenmalige Initiatieven SD Noord,Algemeen,stadsdeel Noord,So What Kinderconcerten in het Zonnehuis,Eenmalig,2500.00,2500.00,NULL,2015,2016-09-28 01:00:17.567
SB_MI_SUBSIDIEREGISTER,SBA-000030,KnowledgeMatters,Meedoen Noord,Participatie,stadsdeel Noord,directe omgeving omtoveren naar een minifarm,Eenmalig,500.00,.00,NULL,2015,2016-09-28 01:00:17.567
SB_MI_SUBSIDIEREGISTER,SBA-000031,Harmonicorps Tuindorp,Eenmalige Initiatieven SD Noord,Algemeen,stadsdeel Noord,Blokfluitlessen,Eenmalig,6500.00,6500.00,5197.00,2015,2016-09-28 01:00:17.567
SB_MI_SUBSIDIEREGISTER,SBA-000032,Stichting Karel,Subsidie Zorg voor Zuid,Welzijn en Zorg,stadsdeel Zuid,Fotoproject Zelfstandige ouderen actief in de Pijp,Periodiek,1000.00,1000.00,NULL,2015,2016-09-28 01:00:17.567
SB_MI_SUBSIDIEREGISTER,SBA-000033,Stichting Muziekkapellen,Eenmalige Initiatieven SD Noord,Algemeen,stadsdeel Noord,aanvraag 2015,Eenmalig,3000.00,3000.00,NULL,2015,2016-09-28 01:00:17.567
SB_MI_SUBSIDIEREGISTER,SBA-000035,Stichting Zwerfkunst,Eenmalige Initiatieven SD Noord,Algemeen,stadsdeel Noord,Azart@NDSM - The World Upside Down,Eenmalig,5000.00,5000.00,NULL,2015,2016-09-28 01:00:17.567
SB_MI_SUBSIDIEREGISTER,SBA-000037,De Omslag,Welzijnssubsidies West 2013,Welzijn en Zorg,stadsdeel West,Interactieve Participatiemarkt (APM) voor kwetsbare burgers,Eenmalig,5000.00,5000.00,NULL,2015,2016-09-28 01:00:17.567
